Gene	logFC	pAdj	Compartment	Cell Type
SLC25A6	3.23E-01	5.05E-12	Peripheral blood	Effector/Treg
NOSIP	6.04E-01	5.06E-12	Peripheral blood	Effector/Treg
USP10	5.74E-01	3.09E-11	Peripheral blood	Effector/Treg
TSPO	6.49E-01	3.11E-11	Peripheral blood	Effector/Treg
IL7R	2.83E-01	4.13E-11	Peripheral blood	Effector/Treg
RPL4	2.84E-01	9.82E-11	Peripheral blood	Effector/Treg
TIMP1	5.64E-01	1.13E-10	Peripheral blood	Effector/Treg
NPDC1	3.83E-01	1.38E-10	Peripheral blood	Effector/Treg
SELPLG	4.92E-01	1.73E-10	Peripheral blood	Effector/Treg
RPL18	2.56E-01	1.28E-09	Peripheral blood	Effector/Treg
TRAT1	4.50E-01	1.38E-09	Peripheral blood	Effector/Treg
MAP3K1	5.20E-01	3.08E-09	Peripheral blood	Effector/Treg
CAPN2	4.85E-01	5.43E-09	Peripheral blood	Effector/Treg
GBP5	4.51E-01	1.05E-08	Peripheral blood	Effector/Treg
SVIL	4.19E-01	1.16E-08	Peripheral blood	Effector/Treg
HSD11B1	3.86E-01	1.33E-08	Peripheral blood	Effector/Treg
AQP3	4.76E-01	1.77E-08	Peripheral blood	Effector/Treg
CDC25B	3.66E-01	4.66E-08	Peripheral blood	Effector/Treg
GTF3A	4.03E-01	5.53E-08	Peripheral blood	Effector/Treg
C12orf75	6.12E-01	7.35E-08	Peripheral blood	Effector/Treg
CISH	5.24E-01	8.45E-08	Peripheral blood	Effector/Treg
GLUL	5.11E-01	9.62E-08	Peripheral blood	Effector/Treg
MFNG	3.79E-01	1.26E-07	Peripheral blood	Effector/Treg
PDIA4	2.81E-01	2.34E-07	Peripheral blood	Effector/Treg
LDHB	2.59E-01	2.97E-07	Peripheral blood	Effector/Treg
RP11.356J5.12	5.69E-01	3.68E-07	Peripheral blood	Effector/Treg
IL10RA	3.29E-01	6.00E-07	Peripheral blood	Effector/Treg
ARPC1B	2.70E-01	6.26E-07	Peripheral blood	Effector/Treg
ITGB2	2.74E-01	7.35E-07	Peripheral blood	Effector/Treg
PDCD5	5.30E-01	7.94E-07	Peripheral blood	Effector/Treg
SLC40A1	3.77E-01	8.32E-07	Peripheral blood	Effector/Treg
YWHAQ	2.85E-01	2.17E-06	Peripheral blood	Effector/Treg
ELK3	4.46E-01	2.71E-06	Peripheral blood	Effector/Treg
NECAP2	4.12E-01	3.59E-06	Peripheral blood	Effector/Treg
ELOVL4	3.71E-01	4.33E-06	Peripheral blood	Effector/Treg
MOSPD3	3.37E-01	5.23E-06	Peripheral blood	Effector/Treg
PSMB8	3.76E-01	5.97E-06	Peripheral blood	Effector/Treg
TRADD	4.01E-01	7.02E-06	Peripheral blood	Effector/Treg
SSR4	2.66E-01	2.17E-05	Peripheral blood	Effector/Treg
TXN	3.24E-01	2.26E-05	Peripheral blood	Effector/Treg
MYC	4.04E-01	3.83E-05	Peripheral blood	Effector/Treg
TEX264	5.62E-01	1.17E-04	Peripheral blood	Effector/Treg
JAKMIP1	2.71E-01	1.18E-04	Peripheral blood	Effector/Treg
RNASET2	3.30E-01	1.27E-04	Peripheral blood	Effector/Treg
LTK	2.74E-01	1.67E-04	Peripheral blood	Effector/Treg
PLEKHG3	2.65E-01	1.74E-04	Peripheral blood	Effector/Treg
CNN2	2.68E-01	1.76E-04	Peripheral blood	Effector/Treg
MT.TT	2.81E-01	2.00E-04	Peripheral blood	Effector/Treg
AHNAK	2.84E-01	2.01E-04	Peripheral blood	Effector/Treg
BIN1	3.85E-01	2.25E-04	Peripheral blood	Effector/Treg
C10orf54	4.48E-01	2.46E-04	Peripheral blood	Effector/Treg
REXO2	3.75E-01	3.66E-04	Peripheral blood	Effector/Treg
TC2N	3.17E-01	4.28E-04	Peripheral blood	Effector/Treg
DPP4	2.50E-01	5.66E-04	Peripheral blood	Effector/Treg
ENO1	3.00E-01	6.73E-04	Peripheral blood	Effector/Treg
NSG1	3.90E-01	7.02E-04	Peripheral blood	Effector/Treg
HINT1	2.60E-01	7.02E-04	Peripheral blood	Effector/Treg
SIT1	3.32E-01	1.78E-03	Peripheral blood	Effector/Treg
TRAF3IP3	2.91E-01	2.04E-03	Peripheral blood	Effector/Treg
SEC61B	2.59E-01	2.44E-03	Peripheral blood	Effector/Treg
CCR2	2.93E-01	2.56E-03	Peripheral blood	Effector/Treg
ICAM2	4.66E-01	3.01E-03	Peripheral blood	Effector/Treg
ATP5F1	2.98E-01	5.84E-03	Peripheral blood	Effector/Treg
RIPK2	4.75E-01	6.17E-03	Peripheral blood	Effector/Treg
CBLL1	3.34E-01	6.32E-03	Peripheral blood	Effector/Treg
LRRFIP1	2.80E-01	6.58E-03	Peripheral blood	Effector/Treg
S1PR4	3.74E-01	7.70E-03	Peripheral blood	Effector/Treg
EIF4EBP2	2.69E-01	8.50E-03	Peripheral blood	Effector/Treg
CPT1A	2.54E-01	9.14E-03	Peripheral blood	Effector/Treg
SYTL1	2.86E-01	1.06E-02	Peripheral blood	Effector/Treg
SLIRP	3.02E-01	1.25E-02	Peripheral blood	Effector/Treg
TNFAIP8	2.91E-01	1.29E-02	Peripheral blood	Effector/Treg
RSU1	3.85E-01	1.64E-02	Peripheral blood	Effector/Treg
ARL14EP	2.70E-01	1.79E-02	Peripheral blood	Effector/Treg
CYTH1	2.57E-01	1.90E-02	Peripheral blood	Effector/Treg
MAT2B	3.02E-01	2.12E-02	Peripheral blood	Effector/Treg
LPAR6	3.77E-01	2.42E-02	Peripheral blood	Effector/Treg
EAF1	2.78E-01	2.58E-02	Peripheral blood	Effector/Treg
CARD16	3.12E-01	2.76E-02	Peripheral blood	Effector/Treg
SMDT1	2.67E-01	3.69E-02	Peripheral blood	Effector/Treg
MYO1F	3.07E-01	4.61E-02	Peripheral blood	Effector/Treg
CDC42SE1	9.05E-01	8.32E-44	Peripheral blood	Treg/quiescent
C1orf56	9.03E-01	3.44E-42	Peripheral blood	Treg/quiescent
HNRNPH1	7.20E-01	1.88E-37	Peripheral blood	Treg/quiescent
MTA2	6.33E-01	1.15E-12	Peripheral blood	Treg/quiescent
C16orf54	7.99E-01	8.09E-12	Peripheral blood	Treg/quiescent
HNRNPL	5.86E-01	2.67E-11	Peripheral blood	Treg/quiescent
SRSF6	5.83E-01	2.37E-07	Peripheral blood	Treg/quiescent
RASSF3	8.64E-01	4.41E-07	Peripheral blood	Treg/quiescent
EIF5A	4.91E-01	1.62E-06	Peripheral blood	Treg/quiescent
CTNNB1	5.27E-01	7.67E-06	Peripheral blood	Treg/quiescent
CTBP1	7.36E-01	3.51E-05	Peripheral blood	Treg/quiescent
SAR1A	3.91E-01	4.35E-05	Peripheral blood	Treg/quiescent
MPRIP	8.35E-01	4.67E-04	Peripheral blood	Treg/quiescent
GIGYF1	6.07E-01	6.64E-04	Peripheral blood	Treg/quiescent
PCBP2	4.81E-01	1.06E-03	Peripheral blood	Treg/quiescent
POLR2J3	4.20E-01	1.43E-03	Peripheral blood	Treg/quiescent
B4GALT1	4.09E-01	6.54E-03	Peripheral blood	Treg/quiescent
RAB12	7.70E-01	7.50E-03	Peripheral blood	Treg/quiescent
WTAP	4.85E-01	2.68E-02	Peripheral blood	Treg/quiescent
C6orf62	4.52E-01	3.14E-02	Peripheral blood	Treg/quiescent
NOG	9.18E-01	3.82E-02	Peripheral blood	Treg/quiescent
FLVCR2	6.93E-01	4.00E-96	Intestinal mucosa	Treg/quiescent
SYT8	7.73E-01	2.91E-54	Intestinal mucosa	Treg/quiescent
MTND4P12	6.81E-01	1.20E-43	Intestinal mucosa	Treg/quiescent
CXCR5	1.02E+00	2.40E-35	Intestinal mucosa	Treg/quiescent
ICA1	8.77E-01	4.83E-24	Intestinal mucosa	Treg/quiescent
ST8SIA1	8.56E-01	1.68E-22	Intestinal mucosa	Treg/quiescent
RPL13P12	2.96E-01	2.98E-20	Intestinal mucosa	Treg/quiescent
ACTB	3.58E-01	2.90E-19	Intestinal mucosa	Treg/quiescent
TIGIT	7.33E-01	2.18E-18	Intestinal mucosa	Treg/quiescent
PDCD1	7.20E-01	5.88E-17	Intestinal mucosa	Treg/quiescent
CTLA4	6.18E-01	1.73E-16	Intestinal mucosa	Treg/quiescent
TOX2	4.45E-01	3.35E-14	Intestinal mucosa	Treg/quiescent
TRPS1	1.11E+00	6.72E-13	Intestinal mucosa	Treg/quiescent
KIAA1551	6.39E-01	8.18E-13	Intestinal mucosa	Treg/quiescent
IL6ST	7.54E-01	1.62E-12	Intestinal mucosa	Treg/quiescent
CTD.2031P19.5	6.75E-01	1.80E-11	Intestinal mucosa	Treg/quiescent
DPP7	4.42E-01	1.13E-10	Intestinal mucosa	Treg/quiescent
MAF	5.92E-01	7.40E-10	Intestinal mucosa	Treg/quiescent
RP11.157G21.2	4.63E-01	7.70E-10	Intestinal mucosa	Treg/quiescent
CHRM3.AS2	5.49E-01	2.58E-09	Intestinal mucosa	Treg/quiescent
CD38	4.19E-01	2.66E-09	Intestinal mucosa	Treg/quiescent
RBM6	4.69E-01	3.13E-09	Intestinal mucosa	Treg/quiescent
RNU4.2	3.23E-01	7.10E-09	Intestinal mucosa	Treg/quiescent
TBC1D4	6.45E-01	3.48E-08	Intestinal mucosa	Treg/quiescent
HNRNPD	6.03E-01	3.89E-08	Intestinal mucosa	Treg/quiescent
SDR39U1	4.53E-01	4.67E-08	Intestinal mucosa	Treg/quiescent
CNOT6L	5.03E-01	5.65E-08	Intestinal mucosa	Treg/quiescent
NFATC1	4.20E-01	1.32E-07	Intestinal mucosa	Treg/quiescent
HNRNPH3	4.94E-01	2.12E-07	Intestinal mucosa	Treg/quiescent
FOXP3	3.57E-01	4.14E-07	Intestinal mucosa	Treg/quiescent
TUBA4A	3.10E-01	6.72E-07	Intestinal mucosa	Treg/quiescent
PLK3	3.52E-01	1.85E-06	Intestinal mucosa	Treg/quiescent
SIRPG	4.06E-01	2.96E-06	Intestinal mucosa	Treg/quiescent
TOX	4.11E-01	3.82E-06	Intestinal mucosa	Treg/quiescent
EPHB6	4.86E-01	3.83E-06	Intestinal mucosa	Treg/quiescent
NABP1	5.00E-01	5.93E-06	Intestinal mucosa	Treg/quiescent
PASK	5.30E-01	6.62E-06	Intestinal mucosa	Treg/quiescent
DGKA	5.52E-01	2.47E-05	Intestinal mucosa	Treg/quiescent
FAN1	2.62E-01	3.71E-05	Intestinal mucosa	Treg/quiescent
SP110	6.01E-01	4.94E-05	Intestinal mucosa	Treg/quiescent
CMTM7	5.50E-01	7.78E-05	Intestinal mucosa	Treg/quiescent
DNPH1	4.84E-01	8.22E-05	Intestinal mucosa	Treg/quiescent
PTPN7	2.52E-01	1.03E-04	Intestinal mucosa	Treg/quiescent
ACAD10	2.98E-01	1.23E-04	Intestinal mucosa	Treg/quiescent
FCMR	4.05E-01	1.81E-04	Intestinal mucosa	Treg/quiescent
CTSB	4.70E-01	7.16E-04	Intestinal mucosa	Treg/quiescent
CDK5R1	3.16E-01	7.16E-04	Intestinal mucosa	Treg/quiescent
PVT1	3.51E-01	7.28E-04	Intestinal mucosa	Treg/quiescent
AHI1	3.73E-01	7.32E-04	Intestinal mucosa	Treg/quiescent
TLK1	4.47E-01	7.88E-04	Intestinal mucosa	Treg/quiescent
ZNF251	3.00E-01	9.69E-04	Intestinal mucosa	Treg/quiescent
RNA28S5	4.14E-01	1.02E-03	Intestinal mucosa	Treg/quiescent
TMEM2	3.63E-01	1.03E-03	Intestinal mucosa	Treg/quiescent
PTPRCAP	4.02E-01	1.15E-03	Intestinal mucosa	Treg/quiescent
SESN3	5.10E-01	1.27E-03	Intestinal mucosa	Treg/quiescent
AFTPH	2.81E-01	1.76E-03	Intestinal mucosa	Treg/quiescent
UBA6.AS1	2.87E-01	1.87E-03	Intestinal mucosa	Treg/quiescent
FYB	4.33E-01	3.79E-03	Intestinal mucosa	Treg/quiescent
TSEN34	2.54E-01	4.12E-03	Intestinal mucosa	Treg/quiescent
SELENOM	3.23E-01	4.65E-03	Intestinal mucosa	Treg/quiescent
PVALB	2.96E-01	5.27E-03	Intestinal mucosa	Treg/quiescent
RPL10	2.50E-01	6.18E-03	Intestinal mucosa	Treg/quiescent
MBOAT1	2.53E-01	8.03E-03	Intestinal mucosa	Treg/quiescent
RPS5	3.32E-01	1.33E-02	Intestinal mucosa	Treg/quiescent
ZC2HC1A	3.14E-01	2.14E-02	Intestinal mucosa	Treg/quiescent
SYPL1	4.76E-01	2.24E-02	Intestinal mucosa	Treg/quiescent
STX16	2.90E-01	2.30E-02	Intestinal mucosa	Treg/quiescent
MTATP6P1	3.58E-01	2.69E-02	Intestinal mucosa	Treg/quiescent
LINC00847	3.50E-01	2.91E-02	Intestinal mucosa	Treg/quiescent
VWA5A	2.77E-01	3.01E-02	Intestinal mucosa	Treg/quiescent
CD59	4.71E-01	3.23E-02	Intestinal mucosa	Treg/quiescent
C1orf228	2.52E-01	3.84E-02	Intestinal mucosa	Treg/quiescent
